lei_alias,ald_alias,score,lei
reenergylivermorefalls llc,reenergylivermorefalls,0.9692307692307692,549300R4YDT24MWV8G94
solaristechno,solaristech,0.9692307692307692,984500A9D15K11CC1P29
sunflag ltd,sunflagco ltd,0.9692307692307692,213800G3MKWL246Y1H14
shetlandaerogenerators ltd,shetlandaerogenerators,0.9692307692307692,984500A3CD50FAAJ5D75
gregorypowerprts lp,gregorypowerprts llc,0.9694736842105263,549300SQOTJ9UB0RKH10
bentleymotors ltd,bentleymotorcars ltd,0.97,529900XV3G9LB0F1P877
cneprojektfvebetasro,cneprojektfvebeta,0.97,315700TF8ICRSWCCKW23
cooperativeenergy co,cooperativeenergy,0.97,549300UYU2TZHSS7GI39
greeninvestenergy as,greeninvestenergy,0.97,31570010000000098647
invenergywinddev llc,invenergywind llc,0.97,549300V8YDIC9KVQHN88
jiznimoravaenergosro,jiznimoravaenergo,0.97,315700INM4DCJFGGRB70
solarparkfrymburksro,solarparkfrymburk,0.97,31570010000000005915
solarsystemsmeninsro,solarsystemsmenin,0.97,31570063NR7TVGBV5B13
solarparkrybniceksro,solarparkrybnicek,0.97,3157005CWRZ9S1GW1T46
veoliaenergialodz sa,veoliaenergialodz,0.97,259400VKQ7FZ98K1XT40
